Datum,Uhrzeit,Status,Latenz (ms)
2025-03-31,08:11:36.953,OK (15ms),15
2025-03-31,08:11:37.467,OK (12ms),12
2025-03-31,08:11:37.978,OK (15ms),15
2025-03-31,08:11:38.492,OK (15ms),15
2025-03-31,08:11:39.006,OK (19ms),19
2025-03-31,08:11:39.524,OK (17ms),17
2025-03-31,08:11:40.040,OK (16ms),16
2025-03-31,08:11:40.555,OK (16ms),16
2025-03-31,08:11:41.070,OK (15ms),15
2025-03-31,08:11:41.583,OK (11ms),11
2025-03-31,08:11:42.094,OK (14ms),14
2025-03-31,08:11:42.607,OK (25ms),25
2025-03-31,08:11:43.132,OK (18ms),18
2025-03-31,08:11:43.649,OK (13ms),13
2025-03-31,08:11:44.161,OK (17ms),17
2025-03-31,08:11:44.678,OK (16ms),16
2025-03-31,08:11:45.192,OK (25ms),25
2025-03-31,08:11:45.716,OK (29ms),29
2025-03-31,08:11:46.245,OK (31ms),31
2025-03-31,08:11:46.775,OK (18ms),18
2025-03-31,08:11:47.292,OK (15ms),15
2025-03-31,08:11:47.806,OK (10ms),10
2025-03-31,08:11:48.316,OK (29ms),29
2025-03-31,08:11:48.844,OK (13ms),13
2025-03-31,08:11:49.356,OK (43ms),43
2025-03-31,08:11:49.899,OK (19ms),19
2025-03-31,08:11:50.417,OK (14ms),14
2025-03-31,08:11:50.931,OK (26ms),26
2025-03-31,08:11:51.456,OK (17ms),17
2025-03-31,08:11:51.972,OK (42ms),42
2025-03-31,08:11:52.514,OK (15ms),15
2025-03-31,08:11:53.028,OK (41ms),41
2025-03-31,08:11:53.569,OK (18ms),18
2025-03-31,08:11:54.086,OK (19ms),19
2025-03-31,08:11:54.604,OK (20ms),20
2025-03-31,08:11:55.123,OK (15ms),15
2025-03-31,08:11:55.637,OK (15ms),15
2025-03-31,08:11:56.151,OK (17ms),17
2025-03-31,08:11:56.667,OK (40ms),40
2025-03-31,08:11:57.206,OK (18ms),18
2025-03-31,08:11:57.723,OK (15ms),15
2025-03-31,08:11:58.237,OK (26ms),26
2025-03-31,08:11:58.762,OK (11ms),11
2025-03-31,08:11:59.272,OK (14ms),14
2025-03-31,08:11:59.785,OK (14ms),14
2025-03-31,08:12:00.299,OK (17ms),17
2025-03-31,08:12:00.814,OK (15ms),15
2025-03-31,08:12:01.329,OK (29ms),29
2025-03-31,08:12:01.857,OK (14ms),14
2025-03-31,08:12:02.370,OK (16ms),16
2025-03-31,08:12:02.885,OK (42ms),42
2025-03-31,08:12:03.426,OK (33ms),33
2025-03-31,08:12:03.958,OK (13ms),13
2025-03-31,08:12:04.470,OK (37ms),37
2025-03-31,08:12:05.007,OK (15ms),15
2025-03-31,08:12:05.521,OK (32ms),32
2025-03-31,08:12:06.053,OK (30ms),30
2025-03-31,08:12:06.582,OK (29ms),29
2025-03-31,08:12:07.110,OK (14ms),14
2025-03-31,08:12:07.628,OK (26ms),26
2025-03-31,08:12:08.153,OK (13ms),13
2025-03-31,08:12:08.666,OK (17ms),17
2025-03-31,08:12:09.183,OK (16ms),16
2025-03-31,08:12:09.698,OK (16ms),16
2025-03-31,08:12:10.214,OK (13ms),13
2025-03-31,08:12:10.726,OK (15ms),15
2025-03-31,08:12:11.240,OK (14ms),14
2025-03-31,08:12:11.754,OK (21ms),21
2025-03-31,08:12:12.273,OK (16ms),16
2025-03-31,08:12:12.787,OK (28ms),28
2025-03-31,08:12:13.315,OK (29ms),29
2025-03-31,08:12:13.844,OK (29ms),29
2025-03-31,08:12:14.372,OK (34ms),34
2025-03-31,08:12:14.905,OK (15ms),15
2025-03-31,08:12:15.419,OK (39ms),39
2025-03-31,08:12:15.958,OK (30ms),30
2025-03-31,08:12:16.488,OK (15ms),15
2025-03-31,08:12:17.002,OK (15ms),15
2025-03-31,08:12:17.517,OK (31ms),31
2025-03-31,08:12:18.047,OK (15ms),15
2025-03-31,08:12:18.561,OK (39ms),39
2025-03-31,08:12:19.100,OK (17ms),17
2025-03-31,08:12:19.616,OK (26ms),26
2025-03-31,08:12:20.142,OK (16ms),16
2025-03-31,08:12:20.657,OK (16ms),16
2025-03-31,08:12:21.172,OK (25ms),25
2025-03-31,08:12:21.696,OK (17ms),17
2025-03-31,08:12:22.212,OK (18ms),18
2025-03-31,08:12:22.730,OK (24ms),24
2025-03-31,08:12:23.254,OK (13ms),13
2025-03-31,08:12:23.767,OK (29ms),29
2025-03-31,08:12:24.294,OK (27ms),27
2025-03-31,08:12:24.821,OK (16ms),16
2025-03-31,08:12:25.336,OK (18ms),18
2025-03-31,08:12:25.854,OK (20ms),20
2025-03-31,08:12:26.373,OK (14ms),14
2025-03-31,08:12:26.886,OK (17ms),17
2025-03-31,08:12:27.403,OK (19ms),19
2025-03-31,08:12:27.921,OK (39ms),39
2025-03-31,08:12:28.460,OK (29ms),29
2025-03-31,08:12:28.989,OK (16ms),16
2025-03-31,08:12:29.504,OK (17ms),17
2025-03-31,08:12:30.022,OK (15ms),15
2025-03-31,08:12:30.536,OK (13ms),13
2025-03-31,08:12:31.048,OK (16ms),16
2025-03-31,08:12:31.563,OK (14ms),14
2025-03-31,08:12:32.076,OK (34ms),34
2025-03-31,08:12:32.610,OK (30ms),30
2025-03-31,08:12:33.140,OK (46ms),46
2025-03-31,08:12:33.686,OK (14ms),14
2025-03-31,08:12:34.199,OK (15ms),15
2025-03-31,08:12:34.713,OK (13ms),13
